sample,fastq_1,fastq_2,strandedness,sample_description,fastq_md5,type,status,time,rep
wild-type_infected_T12h_rep1,raw/fastq/SRX8622470_SRR12097030.fastq.gz,,auto,wild-type_infected_T12h_rep1,6e22af832eec46eaaf8a875ef9c2fe9d,wild,infected,T12h,rep1
wild-type_infected_T12h_rep2,raw/fastq/SRX8622471_SRR12097031.fastq.gz,,auto,wild-type_infected_T12h_rep2,786da5dbd89aa11dd2d717aebdfd547f,wild,infected,T12h,rep2
wild-type_infected_T12h_rep3,raw/fastq/SRX8622472_SRR12097032.fastq.gz,,auto,wild-type_infected_T12h_rep3,32744472ebbbb663647760f1679cf390,wild,infected,T12h,rep3
wild-type_infected_T12h_rep4,raw/fastq/SRX8622473_SRR12097033.fastq.gz,,auto,wild-type_infected_T12h_rep4,5a8e9d2521f337361c236d02ead3283c,wild,infected,T12h,rep4
wild-type_infected_T12h_rep5,raw/fastq/SRX8622474_SRR12097034.fastq.gz,,auto,wild-type_infected_T12h_rep5,137b9353a4141ec3a095c28bb26ded46,wild,infected,T12h,rep5
wild-type_infected_T24h_rep1,raw/fastq/SRX8622480_SRR12097040.fastq.gz,,auto,wild-type_infected_T24h_rep1,191b641e0e2dbeac8d972bff90dfb70d,wild,infected,T24h,rep1
wild-type_infected_T24h_rep2,raw/fastq/SRX8622481_SRR12097041.fastq.gz,,auto,wild-type_infected_T24h_rep2,76656a291fafdebe97a8208f674763d4,wild,infected,T24h,rep2
wild-type_infected_T24h_rep3,raw/fastq/SRX8622482_SRR12097042.fastq.gz,,auto,wild-type_infected_T24h_rep3,a4b89668edc2d8db002ea9916bc1e89c,wild,infected,T24h,rep3
wild-type_infected_T24h_rep4,raw/fastq/SRX8622483_SRR12097043.fastq.gz,,auto,wild-type_infected_T24h_rep4,620d1bf8c7cc379db210f677e84ff83d,wild,infected,T24h,rep4
wild-type_infected_T24h_rep5,raw/fastq/SRX8622484_SRR12097044.fastq.gz,,auto,wild-type_infected_T24h_rep5,b9c15d2ecafb029837d2218cb96cd1ad,wild,infected,T24h,rep5
wild-type_infected_T48h_rep1,raw/fastq/SRX8622490_SRR12097050.fastq.gz,,auto,wild-type_infected_T48h_rep1,35623892060f3ff6f2a0614fcfc91e35,wild,infected,T48h,rep1
wild-type_infected_T48h_rep2,raw/fastq/SRX8622491_SRR12097051.fastq.gz,,auto,wild-type_infected_T48h_rep2,38f7b52c0e8ae5fd9cfd76297cc0138e,wild,infected,T48h,rep2
wild-type_infected_T48h_rep3,raw/fastq/SRX8622492_SRR12097052.fastq.gz,,auto,wild-type_infected_T48h_rep3,003faa477884c5cd0b2ff7d5bed433c4,wild,infected,T48h,rep3
wild-type_infected_T48h_rep4,raw/fastq/SRX8622493_SRR12097053.fastq.gz,,auto,wild-type_infected_T48h_rep4,1a360437eb06852cfcbe2e8ffdb93bce,wild,infected,T48h,rep4
wild-type_infected_T48h_rep5,raw/fastq/SRX8622494_SRR12097054.fastq.gz,,auto,wild-type_infected_T48h_rep5,45ff3afe1190be3c3a478f15b73c166f,wild,infected,T48h,rep5
wild-type_infected_T5d_rep1,raw/fastq/SRX8622500_SRR12097060.fastq.gz,,auto,wild-type_infected_T5d_rep1,e2d2f5ab84e8ad467f29b0cc620c3732,wild,infected,T5d,rep1
wild-type_infected_T30d_rep4,raw/fastq/SRX8622501_SRR12097093.fastq.gz,,auto,wild-type_infected_T30d_rep4,061c10fdd70cbbcc57eb7b190bc47b3a,wild,infected,T30d,rep4
wild-type_infected_T30d_rep5,raw/fastq/SRX8622502_SRR12097094.fastq.gz,,auto,wild-type_infected_T30d_rep5,4eed1676298f99911b9015f45b86d7c4,wild,infected,T30d,rep5
35S::AtCKX2_infected_T12h_rep1,raw/fastq/SRX8622508_SRR12097100.fastq.gz,,auto,35S::AtCKX2_infected_T12h_rep1,ea63a49d9a7c667aac5657302fdecd21,35S::AtCKX2,infected,T12h,rep1
35S::AtCKX2_infected_T12h_rep2,raw/fastq/SRX8622509_SRR12097101.fastq.gz,,auto,35S::AtCKX2_infected_T12h_rep2,418c67b0af40d4080e65b28b14758444,35S::AtCKX2,infected,T12h,rep2
35S::AtCKX2_infected_T12h_rep3,raw/fastq/SRX8622510_SRR12097102.fastq.gz,,auto,35S::AtCKX2_infected_T12h_rep3,e8fda51745af1548826e231916af9a4b,35S::AtCKX2,infected,T12h,rep3
35S::AtCKX2_infected_T12h_rep4,raw/fastq/SRX8622511_SRR12097103.fastq.gz,,auto,35S::AtCKX2_infected_T12h_rep4,49c4aae967b9a4d73f7f737871ce09de,35S::AtCKX2,infected,T12h,rep4
35S::AtCKX2_infected_T12h_rep5,raw/fastq/SRX8622512_SRR12097104.fastq.gz,,auto,35S::AtCKX2_infected_T12h_rep5,54a5dd4540aa36c9b86c9462c15b8946,35S::AtCKX2,infected,T12h,rep5
35S::AtCKX2_infected_T24h_rep1,raw/fastq/SRX8622518_SRR12097110.fastq.gz,,auto,35S::AtCKX2_infected_T24h_rep1,fee9b5adaa36c43023ce352614497c40,35S::AtCKX2,infected,T24h,rep1
35S::AtCKX2_infected_T24h_rep2,raw/fastq/SRX8622519_SRR12097111.fastq.gz,,auto,35S::AtCKX2_infected_T24h_rep2,e68ab34ab6a7cf8292f5ade51a419ceb,35S::AtCKX2,infected,T24h,rep2
35S::AtCKX2_infected_T24h_rep3,raw/fastq/SRX8622520_SRR12097112.fastq.gz,,auto,35S::AtCKX2_infected_T24h_rep3,614c8edddd22386a0866b4f740a07742,35S::AtCKX2,infected,T24h,rep3
35S::AtCKX2_infected_T24h_rep4,raw/fastq/SRX8622521_SRR12097113.fastq.gz,,auto,35S::AtCKX2_infected_T24h_rep4,a32bc77795a10866c0f2e86838b9ea94,35S::AtCKX2,infected,T24h,rep4
35S::AtCKX2_infected_T24h_rep5,raw/fastq/SRX8622522_SRR12097114.fastq.gz,,auto,35S::AtCKX2_infected_T24h_rep5,51ad75d7586157158f70f7d12c8116b1,35S::AtCKX2,infected,T24h,rep5
35S::AtCKX2_infected_T48h_rep1,raw/fastq/SRX8622528_SRR12097120.fastq.gz,,auto,35S::AtCKX2_infected_T48h_rep1,7b9b9d70a1868865492e5a1d7034db59,35S::AtCKX2,infected,T48h,rep1
35S::AtCKX2_infected_T48h_rep2,raw/fastq/SRX8622529_SRR12097121.fastq.gz,,auto,35S::AtCKX2_infected_T48h_rep2,d6d190036f2af7866d27cff3192261eb,35S::AtCKX2,infected,T48h,rep2
35S::AtCKX2_infected_T48h_rep3,raw/fastq/SRX8622530_SRR12097122.fastq.gz,,auto,35S::AtCKX2_infected_T48h_rep3,70659d57bc5db413a3fb09585e53dfe3,35S::AtCKX2,infected,T48h,rep3
35S::AtCKX2_infected_T48h_rep4,raw/fastq/SRX8622531_SRR12097123.fastq.gz,,auto,35S::AtCKX2_infected_T48h_rep4,976885d3c45a48a4cc5364c000f405f8,35S::AtCKX2,infected,T48h,rep4
35S::AtCKX2_infected_T48h_rep5,raw/fastq/SRX8622532_SRR12097124.fastq.gz,,auto,35S::AtCKX2_infected_T48h_rep5,cdb763a9afd49c29c3f6066f4517a5c5,35S::AtCKX2,infected,T48h,rep5
35S::AtCKX2_infected_T5d_rep1,raw/fastq/SRX8622538_SRR12097130.fastq.gz,,auto,35S::AtCKX2_infected_T5d_rep1,fa42578a33878b4a56a77c1cf1166e2e,35S::AtCKX2,infected,T5d,rep1
35S::AtCKX2_infected_T5d_rep2,raw/fastq/SRX8622539_SRR12097131.fastq.gz,,auto,35S::AtCKX2_infected_T5d_rep2,0f0a908109527e4794af2234b28f6375,35S::AtCKX2,infected,T5d,rep2
35S::AtCKX2_infected_T5d_rep3,raw/fastq/SRX8622540_SRR12097132.fastq.gz,,auto,35S::AtCKX2_infected_T5d_rep3,e3dd72bdbe0d7447942d97bd5ab9be2b,35S::AtCKX2,infected,T5d,rep3
35S::AtCKX2_infected_T5d_rep4,raw/fastq/SRX8622541_SRR12097133.fastq.gz,,auto,35S::AtCKX2_infected_T5d_rep4,8bd68f0a6d8c64c65ce760fe18ee1522,35S::AtCKX2,infected,T5d,rep4
35S::AtCKX2_infected_T5d_rep5,raw/fastq/SRX8622542_SRR12097134.fastq.gz,,auto,35S::AtCKX2_infected_T5d_rep5,6cc12641e954069919a899ba3130bb7d,35S::AtCKX2,infected,T5d,rep5
35S::AtCKX2_infected_T10d_rep1,raw/fastq/SRX8622548_SRR12097140.fastq.gz,,auto,35S::AtCKX2_infected_T10d_rep1,0d4f139c1f0afeb96ad33134507bb8a1,35S::AtCKX2,infected,T10d,rep1
35S::AtCKX2_infected_T10d_rep2,raw/fastq/SRX8622549_SRR12097141.fastq.gz,,auto,35S::AtCKX2_infected_T10d_rep2,254230af0a96a226bbc310d4c20b3644,35S::AtCKX2,infected,T10d,rep2
35S::AtCKX2_infected_T10d_rep3,raw/fastq/SRX8622550_SRR12097142.fastq.gz,,auto,35S::AtCKX2_infected_T10d_rep3,998553dbbb85559e1ee05e8c76e6f1d5,35S::AtCKX2,infected,T10d,rep3
35S::AtCKX2_infected_T10d_rep4,raw/fastq/SRX8622551_SRR12097143.fastq.gz,,auto,35S::AtCKX2_infected_T10d_rep4,1ffb6a88fc917a92488c4e9e97210081,35S::AtCKX2,infected,T10d,rep4
35S::AtCKX2_infected_T10d_rep5,raw/fastq/SRX8622552_SRR12097144.fastq.gz,,auto,35S::AtCKX2_infected_T10d_rep5,7728095ba72d4e6247b36f715c608273,35S::AtCKX2,infected,T10d,rep5
35S::AtCKX2_infected_T30d_rep1,raw/fastq/SRX8622558_SRR12097150.fastq.gz,,auto,35S::AtCKX2_infected_T30d_rep1,30d3dc6c7ca9984cfef18db8d3f913fa,35S::AtCKX2,infected,T30d,rep1
35S::AtCKX2_infected_T30d_rep2,raw/fastq/SRX8622559_SRR12097151.fastq.gz,,auto,35S::AtCKX2_infected_T30d_rep2,f375314232cdaf788b9cfd94b3a3b284,35S::AtCKX2,infected,T30d,rep2
35S::AtCKX2_infected_T30d_rep3,raw/fastq/SRX8622560_SRR12097152.fastq.gz,,auto,35S::AtCKX2_infected_T30d_rep3,1e9bf44d1f41a4989daef1a1af3cf04b,35S::AtCKX2,infected,T30d,rep3
35S::AtCKX2_infected_T30d_rep4,raw/fastq/SRX8622561_SRR12097153.fastq.gz,,auto,35S::AtCKX2_infected_T30d_rep4,f353b7bad920f10127b4fa0869b28401,35S::AtCKX2,infected,T30d,rep4
35S::AtCKX2_infected_T30d_rep5,raw/fastq/SRX8622562_SRR12097154.fastq.gz,,auto,35S::AtCKX2_infected_T30d_rep5,4f0dbcd12f409364cb20128912e8ca20,35S::AtCKX2,infected,T30d,rep5
wild-type_infected_T5d_rep2,raw/fastq/SRX8622563_SRR12097061.fastq.gz,,auto,wild-type_infected_T5d_rep2,b9b54569b5908120ffe964c1aaaff4f0,wild,infected,T5d,rep2
wild-type_infected_T5d_rep3,raw/fastq/SRX8622564_SRR12097062.fastq.gz,,auto,wild-type_infected_T5d_rep3,f0e7cbb0636122af0c7ebf9ae69b387c,wild,infected,T5d,rep3
wild-type_infected_T5d_rep4,raw/fastq/SRX8622565_SRR12097063.fastq.gz,,auto,wild-type_infected_T5d_rep4,0209248ded347d310359de7bcd8659c2,wild,infected,T5d,rep4
wild-type_infected_T5d_rep5,raw/fastq/SRX8622566_SRR12097064.fastq.gz,,auto,wild-type_infected_T5d_rep5,9b761cabf04c2fa190510a0b15ee11d6,wild,infected,T5d,rep5
wild-type_infected_T10d_rep1,raw/fastq/SRX8622572_SRR12097070.fastq.gz,,auto,wild-type_infected_T10d_rep1,c8ef52348e9e0ea612c9c406a356bb9b,wild,infected,T10d,rep1
wild-type_infected_T10d_rep2,raw/fastq/SRX8622573_SRR12097071.fastq.gz,,auto,wild-type_infected_T10d_rep2,a5f6893131045c4880616295dbc6c103,wild,infected,T10d,rep2
wild-type_infected_T10d_rep3,raw/fastq/SRX8622574_SRR12097072.fastq.gz,,auto,wild-type_infected_T10d_rep3,d8142b0310b6e5e5dfa2d98b1385cb21,wild,infected,T10d,rep3
wild-type_infected_T10d_rep4,raw/fastq/SRX8622575_SRR12097073.fastq.gz,,auto,wild-type_infected_T10d_rep4,944949bc67b5770f9c9448eeaf32fcf3,wild,infected,T10d,rep4
wild-type_infected_T10d_rep5,raw/fastq/SRX8622576_SRR12097074.fastq.gz,,auto,wild-type_infected_T10d_rep5,b72b50f4320b4e20f12fe68fe39d50cd,wild,infected,T10d,rep5
wild-type_infected_T20d_rep1,raw/fastq/SRX8622582_SRR12097080.fastq.gz,,auto,wild-type_infected_T20d_rep1,0585f473fe2635c9bbc2cf9de312bb55,wild,infected,T20d,rep1
wild-type_infected_T20d_rep2,raw/fastq/SRX8622583_SRR12097081.fastq.gz,,auto,wild-type_infected_T20d_rep2,9648b9436064340dd63a53ff12bb8997,wild,infected,T20d,rep2
wild-type_infected_T20d_rep3,raw/fastq/SRX8622584_SRR12097082.fastq.gz,,auto,wild-type_infected_T20d_rep3,1fc45bda400dcd0e5a2d3ec66a5f9393,wild,infected,T20d,rep3
wild-type_infected_T20d_rep4,raw/fastq/SRX8622585_SRR12097083.fastq.gz,,auto,wild-type_infected_T20d_rep4,d2764766486585afd847099f8e576b84,wild,infected,T20d,rep4
wild-type_infected_T20d_rep5,raw/fastq/SRX8622586_SRR12097084.fastq.gz,,auto,wild-type_infected_T20d_rep5,d90d13a76cce607a5e80767542b3f355,wild,infected,T20d,rep5
wild-type_infected_T30d_rep1,raw/fastq/SRX8622592_SRR12097090.fastq.gz,,auto,wild-type_infected_T30d_rep1,47830a7419736d28b242b29d86e9a090,wild,infected,T30d,rep1
wild-type_infected_T30d_rep2,raw/fastq/SRX8622593_SRR12097091.fastq.gz,,auto,wild-type_infected_T30d_rep2,6a5ef7a73fa6e67acb256bf7f79cad30,wild,infected,T30d,rep2
wild-type_infected_T30d_rep3,raw/fastq/SRX8622594_SRR12097092.fastq.gz,,auto,wild-type_infected_T30d_rep3,c2dd22ef1d6192e2f0599b5500de699e,wild,infected,T30d,rep3
